% time spent exploring,episodes,mean 100 episode reward,steps
2,90400,-1.1,18170198
2,90500,-1.6,18190298
2,90600,-2.4,18210398
2,90700,-1.0,18230498
2,90800,-1.7,18250598
2,90900,-1.9,18270698
2,91000,-1.6,18290798
2,91100,-1.2,18310898
2,91200,-1.4,18330998
2,91300,-2.3,18351098
2,91400,-0.9,18371198
2,91500,-0.9,18391298
2,91600,-2.1,18411398
2,91700,-0.7,18431498
2,91800,-0.9,18451598
2,91900,-0.8,18471698
2,92000,-1.1,18491798
2,92100,-0.6,18511898
2,92200,-1.2,18531998
2,92300,-1.1,18552098
2,92400,-2.4,18572198
2,92500,-1.2,18592298
2,92600,-3.7,18612398
2,92700,-1.6,18632498
2,92800,-2.3,18652598
2,92900,-6.8,18672698
2,93000,-5.3,18692798
2,93100,-1.2,18712898
2,93200,-2.3,18732998
2,93300,-3.2,18753098
2,93400,-5.8,18773198
2,93500,-6.7,18793298
2,93600,-10.5,18813398
2,93700,-3.0,18833498
2,93800,-2.6,18853598
2,93900,-0.7,18873698
2,94000,-1.0,18893798
2,94100,-3.2,18913898
2,94200,-0.7,18933998
2,94300,-0.7,18954098
2,94400,-2.9,18974198
2,94500,-1.0,18994298
2,94600,-0.8,19014398
2,94700,-0.4,19034498
2,94800,-1.5,19054598
2,94900,-0.7,19074698
2,95000,-0.7,19094798
2,95100,-2.0,19114898
2,95200,-0.6,19134998
2,95300,-1.9,19155098
2,95400,-0.9,19175198
2,95500,-1.0,19195298
2,95600,-2.1,19215398
2,95700,-0.6,19235498
2,95800,-1.3,19255598
2,95900,-2.9,19275698
2,96000,-1.5,19295798
2,96100,-1.3,19315898
2,96200,-5.1,19335998
2,96300,-2.8,19356098
2,96400,-1.9,19376198
2,96500,-1.5,19396298
2,96600,-1.8,19416398
2,96700,-9.6,19436498
2,96800,-8.2,19456598
2,96900,-4.5,19476698
2,97000,-2.5,19496798
2,97100,-1.5,19516898
2,97200,-4.2,19536998
2,97300,-1.8,19557098
2,97400,-0.3,19577198
2,97500,-1.6,19597298
2,97600,-9.3,19617398
2,97700,-2.5,19637498
2,97800,-0.7,19657598
2,97900,-0.8,19677698
2,98000,-1.4,19697798
2,98100,-1.9,19717898
2,98200,-3.0,19737998
2,98300,-0.8,19758098
2,98400,-1.6,19778198
2,98500,-2.1,19798298
2,98600,-0.6,19818398
2,98700,-1.2,19838498
2,98800,-1.1,19858598
2,98900,-1.3,19878698
2,99000,-2.1,19898798
2,99100,-1.7,19918898
2,99200,-5.6,19938998
